Genes	sup35_mut_1	sup35_mut_2	sup35_mut_3	sup35_mut_4	sup35_wt_1	sup35_wt_2	sup35_wt_3	sup35_wt_4
ARG7		7269.66	7183.33	37568.3		12687.8	6086.39	5138.64
ARG8		14519.9	16370.1	41491.6	27120.1	19673	12039.1	13440.4
ARG81								1208.04
ARG82		513.988	716.217	3363.25		336.007		
ARH1		1945.93	2671.76	5636.83		2683.98	1163.5	1699.72
ARI1		7719.34	7405.45	4743.75		12642.3	7990.15	8089.45
ARL1		1781.97	1017.04			4586.66	2801.3	1409.81
ARL3		673.052					512.33	299.444
ARO1		6767.53	8218.7	46132.4	29995.9	13508.6	8686.93	8936.35
ARO10		5518.73	7056.62	4929.11		9442.62	6434.53	6710.34
ARO2		4880.42	5997.42	26140.7		9289.09	5956.34	4493.92
ARO3		6137.46	6930.17	8778.57		17074.3	8613.29	8043.17
ARO4		15695.1	24899.7	124069	70905.9	31960.9	19881.3	18627.2
ARO7		3423.02	2614.89	27710.5		10096.4	2716.67	1290.67
ARO8		21633	29509.7	45431.5	39606.9	37241.5	23823	29842.7
ARO9		6726.07	10495.8	3533.59		22453.6	9683.31	8771.84
ARP2		7693.14	6102.44	15885.6		13739.8	10915.3	4915.29
ARP3		5951.12	5548.16	2703.31		12722.2	8634.61	5792.59
ARP4		13163.7	2377				1925.06	3293.6
ARP5		2536.98	1121.43			1895.86	1739.21	1134.14
ARP6								289.751
ARP7		1432.03	790.162	5218.47		1358.82	701.552	687.54
ARP8		888.81	1573.37	10567.9		2171.31	1117.56	1119.03
ARP9		1611.1	2022.17	2181.01		4429.59	2178.92	1587.16
ARX1		2394.33	1755.34		18484.2	7312.87	2061.47	1516.56
ASC1		29516.7	33144	67074.4	68593.8	64730.1	37778.1	30375.1
ASF1			667.982				1213.82	2200.62
ASG1							182.279	
ASI1								
ASI2								
ASI3								
ASK10							133.818	
ASM4								
ASN1		23694.7	18840.8	21441.6	22887.3	22107.1	18262.4	12548.6
ASN2		13306.1	14626	38255.6	40748.7	24678.4	14679.6	6977.55
ASP1		1395.71	1595.61	7138.22		5166.58	1343.51	1420.3
AST1								
AST2								
ATC1						370.912		
ATF1								
ATF2		578.685	594.625			551.959	778.979	837.439
ATG19						393.463		
ATG26						588.147		338.677
ATG27			181.348					525.749
ATG3		1125.73	615.272				999.866	388.567
ATG32								
ATG33								
ATG4		1467	1521.48	2774.25		1040.57	1017.55	673.395
ATG40		615.338				583.468		495.067
ATG42		2383.45	1624.46	880.602		5610.76	3199.33	2369.9
ATG8		682.858	1056.7				800.227	526.956
ATM1		932.912	610.903	45911.5			435.781	798.285
ATO3								
ATP1		13186.1	17067.2	47003.2	44900.6	18219	11141.2	21701.7
ATP10								275.217
ATP11		919.063	899.673			1762.23	2346.3	1577.82
ATP12		8637.62	4046			1701.36	4056.37	1264.15
ATP14		375.527	2680.36				1431.25	1197.65
ATP15		1697.75	1216.23	6746.55		3817.05	869.86	2157.17
ATP16		3469.54	7596.05	15078.5	10584.4	6273.95	3352.04	2325.64
ATP17		1354.86	1618.05				1693.7	1981.49
ATP18		2793.84	6801.14	2868.9		8266.91	3323.26	2884.93
ATP19		1555.2	2869.61	22663.4		3568.9	1536.03	1049.89
ATP2		8230.21	18445.2	46951.6	73803	31070.5	10666	28982.3
ATP20		2416.9	3970.3			3541.02	574.19	666.353
ATP22								
ATP23		550.137	1432.22				1093.05	1138.37
ATP25		1392.64	241.792			1362.35		
ATP3		5161.61	2368.8	11208.7		7328.39	3835.68	3660.86
ATP4		2119.8	3014.02	9719.73	5632.75	2849.61	2135.02	3145.65
ATP5		2448.6	3296.41	8421.03	26309	2996.75	2797.77	2529.68
ATP6		1574.87				1409.26	2699.35	
ATP7		1566.33	1561.04			6145.28	2287.62	1325.02
ATX1		689.029	2938.04	19317.7		922.614		1155.06
AVL9		2794.23	2803.95	12039.8		7019.06	4291.41	1327.32
AVO2								
AVT1		511.541					671.576	386.492
AVT3								
AXL1		1141.96	674.497	2766.87		998.402	649.325	
AXL2			254.013				294.039	650.838
AYR1		2395.84	1273.94	31051.1		3992	1920.23	1307.45
AZR1								
BAP2		650.733	720.477	5066.21		1577.46	667.21	446.685
BAP3		2324.48	637.93	1979.97		688.842	1754.98	
BAT1		18193.4	23227.1	51788.6	46327.4	29793.2	14559.7	11035.2
BAT2		2592.2	2221.88	20268.1		2502	2396.09	3025.66
BBC1		5054.41	3835.61	11846.8		6405.99	5032.79	1770.85
BBP1								
BCH1		3893.61	5495.77	23236.4		6199.96	4424.8	3547.86
BCH2		492.991	311.298			483.324	511.584	
BCP1		1520.47	1868	8614.53		3109.27	2548.09	1429.33
BCS1		1313.01	1015.05	1547.32		1129.91	3169.07	
BCY1		1689.2	2386.25			7014.43	2872.08	1723.29
BDF1		1327.65				2971.97		
BDH1		845.435	1053.15	1503.03	55608.3	2129.57	1378.77	1201.9
BDP1		191.309	36.0802				79.5222	
BEM1								
BEM2		499.233	560.941			1286.29	7098.72	
BEM4		4659.86	2190.86	7869.04		6051.03	9408.9	1556.85
BET1		223.491	192.607				395.753	
BET3						642.437		1057.26
BET4		323.585				915.751	1038.95	491.703
BET5		2227.65	538.936	1507.79		1711.7	1909.03	
BFR1		9636.73	7051.01	19731		9563.31	6189.89	5151.98
BFR2		1370.9	2323.17			2607.85	962.906	2067.75
BGL2		2519.57	1838.43	3783.44		6722.7	2649.05	1907.01
BI2								
BIG1			897.969	1390.85		593.615	647.812	
BIK1				2827.38				
BIM1		911.401					789.208	
BIO2		1674.97	1058.85			4744.44	2388.4	995.772
BIO4		197.951	243.102				83.307	279.363
BLM10		1110	1607.62	9591.47		1441.48	1083.5	1548.51
BMH1		825.792	2067.22	3860.75	29651.1	3868.86	2001.11	1341.03
BMH2		5859.99	3359.82		120337	32548.3	2440.76	6925.55
BMS1		1714.47	1261.24			1520.71	944.538	639.829
BNA1		638.424	1185.03			4694.04	2146.02	2499.06
BNA2		497.432	814.929	7080.19		2546.13	685.528	363.616
BNA3		2233.21	2174.66	13366.3		2976.02	2481.59	2976.88
BNA4		936.982	158.619			1690.14	3090.99	589.656
BNA5		1663.62	2085.86	12369.8		3954.2	2365.45	1656.94
BNA6		1753.11	1835.36	177.374		5215	2371.67	1401.25
BNA7			599.577	325.982		1104.35	270.933	
BNI1								
BNI5		667.901				268.005	303.922	64.1201
BOI1								
BOI2		172.595						113.796
BOL1		915.523	1345.17				1679.41	1604.61
