Genes	sup35_mut_1	sup35_mut_2	sup35_mut_3	sup35_mut_4	sup35_wt_1	sup35_wt_2	sup35_wt_3	sup35_wt_4
HXT7		280.107					296.667	149.875
HYP2		49737	45903.2	146303	41587.1	52872.1	48839.7	25883
HYR1		3570.08	2065.31	25336.2		2507.01	4015.41	2456.72
IAH1		1312.68	1565.81	10386.1		1173.1	1212.15	1779.39
IBA57						536.968		658.595
IBD2								
ICE2								
ICL1		1704.83	889.817	5813.28		344.702	742.898	259.319
ICL2			375.219					
ICP55		637.532	666.188				897.115	925.334
ICT1						1672.45		
IDH1		6590.68	5837.8	5379.15	17261	6061.66	7009.7	3425.28
IDH2		7709.17	8202.08	33502.1	17736.4	7529.38	7566.71	8095.48
IDI1		1969.19	2628.65	6338.26	32252.3	4761.07	3614.77	1829.83
IDP1		22226.5	18781.2	13784.7	68910.2	20939.4	22375.3	19629.9
IDP2		5051.17	3602.02			4971.49	3566.41	2257.2
IES1			318.08	2007.45		490.336	314.387	325.243
IES2		562.502	427.891			510.545		402.037
IES3		808.125	714.429				548.591	389.299
IES4			506.119					161.473
IES5			378.737				540.446	
IES6		1004.12	255.144					216.964
IFA38		2601.14	1142.23			1739.57	1057.71	1314.58
IFM1								
IGO1			333.872					286.427
IGO2			708.36				529.448	559.058
IKI1		641.987	475.38				615.405	590.208
IKI3		1887.65	3585.08	16723.8		3816.93	4185.68	2998.75
IKS1		132.843					448.603	
ILM1								
ILS1		16636.7	17944.2	46649.5	52483	25251.6	15682.6	13825
ILV1		5203.06	4268.57	18071.7	21110.8	11353.7	7018.25	4946.16
ILV2		11646.7	7242.66	19103.9	28084.1	26103.3	9255.75	6624.61
ILV3		25185.8	26299.5	38738.8	243879	25794.2	21589.4	18704.4
ILV5		74077.7	82107.1	163940	139478	105044	75339.1	89299.3
ILV6		5391.52	5786.52	16796.7	48409.5	12554.5	5274.83	8748.8
IMA1			204.907					334.526
IMD1		2002.23	1546.74				1660.83	1581.25
IMD2		539.292	825.863			1189.94	836.108	1003.07
IMD3		4382.16	5427.14	47566.7		5923.49	3426.89	2620.43
IMD4		3344.54	10844.9	17261.4		4143.03	2700.85	2805.81
IMG1		7958.31	4747.72			5405.37	4094.13	3895.95
IMG2		1870.92					1718.3	
IMH1		883.454	374.617			1158.65	1093.96	711.403
IML1								
IML2		881.753	543.631	2262.13		792.233	1433.01	1018.18
IMO32		1465.96	2068.48	29601.7		4567.94	3104.99	1335.03
IMP1						1078.14		
IMP2								
IMP2'								
IMP3		699.121	338.831			719.285		
IMP4		1147.52	472.026		4695.44	3423	973.171	276.609
INA17		139.778						
INA22								
INH1		6719.75	3102.41				3065.58	2670.5
INM1		224.441	1189.12				527.409	748.293
INN1								
INO1		3129.1	3507.32	12174.9	9367.37	7263.25	4597.11	5277.12
INO80		2120.03	2364.61			3866.08	1033.96	1187.28
INP53		1601.78	496.489	5017.33		1446.09	885.34	539.94
INP54		855.785	269.434	977.34		380.868	428.488	
IOC2				1870.32			1833.98	258.464
IOC3								235.448
IOC4								352.788
IPI1			147.52	1159.34				475.11
IPI3		513.992	1043.39	2982.27		1378.34		1424.75
IPP1		7364.86	10850.3	65296.6	25629.5	16769.8	11815	11670.7
IPT1						1922.92		
IRC11		116.507		5032.12				177.756
IRC19							125.738	605.188
IRC22		624.496	371.218				474.298	
IRC24		1454.39	1910.53	23551.4		10268.1	4711.27	1460.46
IRC3		659.265	2379.37					
IRC6								
IRC8								
IRE1		344.135						471.529
IRR1		556.643	488.328	4362.69		1787.48	875.337	
ISA1		578.056						
ISA2								
ISC1		1056.19	923.627			1385.02	867.271	855.768
ISD11		969.058	847.435				2994.63	1752.47
ISM1		2754.21	660.45		24310	4043.87	2913.54	1630.57
ISN1		1389.71	1931.39	1362.12	2769	3265.61	1323.42	1384.41
IST1								
IST2		3033.02	1414.21			3658.45	2082.63	1133.87
ISU1		179.096	254.199					
ISU2								
ISW1		1608.25	2030.15			3843.37	1220.11	1066.53
ISW2		833.853	650.62			1848.23	609.818	1956.45
ITC1		395.467				395.985	334.981	435.433
ITR1		3274.91	1022.61			2101.82	1022.01	1195.33
IVY1								
IZH2								
JAC1		406.484	586.764					297.612
JEM1							2297.91	
JIP4				4327.45				533.629
JIP5				1006.29		406.863	532.179	
KAE1		1231.96	544.653		4241.02		682.966	753.034
KAP104		954.818	321.128	1499.83		1156.61	813.37	564.411
KAP114		550.285	458.98	2579.92		1163.71	549.877	868.973
KAP120		2209.21	2003.08	7408.4		1663.58	1327.81	828.417
KAP122		575.397	1268.51	3527.74		817.606	762.286	
KAP123		5209.34	8001.18	44816.6	21835.7	10454.8	6118.68	6896.88
KAP95		1124.28	1111.19	3714.64		2439.18	1326.33	769.743
KAR2		5501.82	5200.61	15058.5	92751.7	7656.56	6436.8	7666.58
KAR4								
KCC4		887.882	1638.18				2080.44	1886.26
KCS1		731.236					1592.6	684.392
KEL1			130.59			542.759	205.668	418.049
KEL3		1834.41	805.486	1609.36		1108.52	1858.01	529.612
KES1		4593.36	3878.65	1959.81	37213.2	14686.7	3212.51	3531.06
KEX1			2043.65				358.627	1252.95
KEX2			1236.33					
KGD1		6469.08	7648.07	14107.5	31379.9	10390.1	7809.63	5890.76
KGD2		10225.5	6236.76		57109.5	29919	4781.64	3959.43
KHA1								
KIN1		716.389					857.192	354.755
KIN2							740.956	
KIN4								
KIP2								
KKQ8								548.786
KOG1		502.896		1222.15		697.363	613.896	
KRE2		2838.87	2245.43	5560.32		4038.24	1989.18	1041.47
KRE33		1645.97	1395.75			1789.25	1065.61	930.729
KRE5		1376.07	1840.19	8132.05		3732.84	1222.52	1513.61
KRE6		1147.48	2749.31	19263.6			947.929	1111.92
KRI1		1948.23	1456.78			1152.47	1057.01	729.159
KRR1		674.793		847.428				642.699
KRS1		43594.9	39246.8	32291.7	43195.5	80217.9	31573.3	31011.4
KSS1			234.877					
KTI12		1276.75	1533.07			4184.44	1438.17	1441.9
KTR1		1483.26	768.41			2621.11	1916.67	1337.06
KTR3		1282.37	1262.98			1073.39	1261.81	1276.91
KTR4		971.501	650.609			1192.96	776.781	235.081
KTR5								205.032
KTR6		2755.1	1974.67			4153.21	1542.68	1349.79
KTR7								
LAC1								
LAG1								
LAG2		966.033	509.158	3627.82		860.493	1488.78	545.784
LAM1		314.915						
LAM4							589.301	
LAM5								
LAM6		918.073	282.078				930.122	309.115
LAP2		2656.76	3174.54	27410.2		5736.5	4073.78	1893.49
LAP3		5314.81	7560.92	14647.8	7679.37	18992	7926.23	11143.7
LAS17		474.931	395.996				921.783	
LAS21		3864.51	739.388	7976.66		1472.43	4817.59	930.16
LAT1		5516.65	10661	2024.13		23293.9	5032.16	6940.71
LCB1		2603.7	1100.36	2613.56	24194.1	3413.23	2092.34	1382.08
LCB2		839.249	1295.3			1304.47	764.356	823.811
LCB3						1880.4		
LCB4		1009.06	770.477	6904.29		590.563	887.99	582.437
LCB5		2421.25	350.855			2078.51	702.053	
LCL2		926.489	1410.59				1286.03	968.78
LCL3		796.335						
LDH1		2023.38	1477	4713.29		3172.34	3087.98	586.25
LEM3		2685.93	3576.31			4037.61	2624.16	2873.59
LEO1		277.831	772.779			723.664	855.051	696.03
LEU1		4883.24	4528.13	5548.44	51306.7	7756.4	6645.27	4950.98
LEU2		54087.2	69477.1	125968	68711.3	30161.4	24888.9	23810
LEU4		9444.23	7732.92	7282.74	97021.3	23741	9576.96	5492.28
LEU5								
LEU9		9624.93	4052.14	10130.6		15546.3	6937.73	4305.46
LHP1		4817.85	3090.97	12969.9		1600.89	3143.96	2479.74
LHS1		1880.92	1931.47			3731.8	1769.88	2168.19
LIA1		16475.1	19839.8	61588.6		23244.5	15302.6	15899.4
LIP1								169.808
LIP2								
LIP5		482.89	800.267			1325.83	1127.65	
LMO1								
LNP1		589.739	268.729			353.57	716.436	345.247
LOA1		1874.53	605.919				754.962	997.555
LOC1		65.0451	22.4573				88.8394	
LOS1		1257.86	581.282			355.158	630.963	797.424
LOT6		332.532	156.807	780.542			341.127	
LPD1		4088.54	5940.04	26783.1	300744	16477.8	7151.24	7902.57
LPL1								378.272
LRO1		2122.82	498.755			1148.16	1614.35	
LSB1		4770.03	4432.89	36879		8707.54	4636.78	5191.84
LSB3			364.641					
LSB5		1213.73	508.91	2249.59		1244.02	415.545	205.791
LSB6		971.3	536.437			694.295	773.328	482.131
LSC1		12349.7	10137	57844.9	47201.1	17945.9	7326.96	2876.28
LSC2		3456.87	5158.67	14176.9		2574.39	4715.32	2868.77
LSG1		1177.22	1003.63			549.406	449.154	461.105
LSM1							581.6	390.058
LSM12		252.759	372.788			649.115	143.911	532.395
LSM2		9025.47	1581.78	10158.3		4711.58	7862.27	445.179
LSM3							183.374	
LSM4		492.39	1859.44			590.186	891.37	959.441
LSM5		669.947	917.682			1237.01	914.525	796.939
LSM6		577.327	598.242			965.301	577.457	1888.87
LSM7			588.869					1702.28
LSP1		4687.11	6754.98	24889.4	25705.4	15344.3	5850.31	10730.1
LST8		802.173	604.199			822.824	1109.57	524.321
LTE1								
LTO1							338.685	464.07
LTP1		3375.36	3758.8	2838.91		2941.63	3327.39	2028.65
LTV1		403.658	642.781			441.355	419.16	680.614
LYP1								
LYS1		11526.4	11447.6	64803.9	111986	15335.4	11915.1	13767.5
LYS12		6962.46	7689.32	28527.4		9354.79	5627.85	5463.62
LYS2		981.868	662.997	3401.87		788.225	1322.47	824.225
LYS20		435.907	343.427				433.573	661.302
LYS21		60.4173	481.171			687.9	471.861	1858.49
LYS4		3170.49	3310.31	15857.3	15904.2	3086.53	1975.65	1610.63
LYS9		6916.16	6034.36	14538.5		8504.8	4235.38	4722.87
MAD2		1123.78	1128.15				343.72	496.447
MAE1		4684.55	5501.47	11985.6	38310.6	8332.18	6800.4	5911.81
MAG1		322.557					302.71	
MAK10		538.699	100.712			544.073	777.722	
MAK11		2856.78	432.575			2608.09	259.547	282.309
MAK16		1126.89	1112.61				1279.46	
MAK21		1748.03	1018.86			2633.83	1464.88	1237.1
MAK3			1014.53				1787.81	807.994
MAK31								243.39
MAK32			508.222			963.57	420.462	552.848
MAK5		665.728	281.169				189.645	321.375
MAM3		2535.97	2364.41	5692.91		3077.61	1904.49	838.622
MAM33		2932.34	5891.67	21045.3		8350.82	4157.57	4449.42
MAP1		2185.05	1442		20632		1712.37	1401.68
MAP2		2812.27	2210.59			7117.39	2518.65	3867.24
MAS1		1643.61	3087.89			9654.94	3433.95	3496.78
MAS2		1783.36	2099.78			5463.46	1659.29	2762.84
MBA1			9090			6610.98	3963.03	
MBF1		5857.17	3218.12				3893.73	5824.12
MBP1								
MCA1		930.642	600.256			1106.46	1130.94	1110.64
MCD1								126.587
MCD4		2457.41	1120.42			5909.22	5697.36	3352.15
MCH4								
MCK1		2858	2088.55	12386.8		3478.58	2503.43	2871.99
MCM1			205.48					336.68
MCM2		1387.44	1293.82			2842.17	1025.47	1324.6
MCM3		385.643	1405.49			927.682	5889.08	1584.39
MCM4		933.708	1105.61			1120.51	1066.8	474.029
MCM5							605.469	703.043
MCM6		815.373	428.078			1600.74	1079.43	730.813
MCM7		987.209	1441.44			1895.19	902.733	928.442
MCO6		401.085						
MCP1								
MCP2							1160.09	649.158
MCR1		9592.61	12749	110958	13544.4	22337.6	12523.4	8652.32
MCT1		429.066	1691.14	2944.68		1022.63	435.913	1188.48
MCX1		757.216	730.182			1477.15	1680.93	1050.51
MCY1		666.571	566.31			1260.62	669.486	495.227
MDE1		527.946	777.332			1248.74	1098.79	462.808
MDG1		478.243	839.26				311.415	1877.4
MDH1		3559.07	4791.24	21110.6	25539.9	4654.14	3224.62	5955.67
MDH2		1029.95	102.984			1352.76	1228.25	261.545
MDH3		3417.46	2465.72	10285.2		5943.94	3862.94	1822.13
MDJ1		1364.03	676.777			2500.19	966.592	469.461
MDJ2								
MDL1		487.962						
MDL2						549.737		639.309
MDM10		322.204						
MDM12		120.268						
MDM20		326.67					841.03	
MDM32		1123.04						
MDM34								
MDM35						1245.11		336.159
MDM38		2141.31	2277.47	15925.9	85991.9	3427.36	2054.86	1751.31
MDN1		2303.48	1408.06	5884.66		3623.63	3046.66	1175.51
MDR1		271.841	604.094			1122.95	335.883	368.839
MDS3		1578.17	742.92	3497.65		532.427	1681.56	280.32
MDV1								
MDY2		1049.27	511.948			1338.71	1718.51	627.193
MED1		738.14	252.105				1451.53	
MED6		1284.36	828.036			1974.97	2217.86	
MEF1		3719.62	3394.66	16219	34343.8	5433.46	4033.94	3709.58
MEF2			692.795			2048.09	141.112	590.024
MEH1								
MES1		9974.58	9185.83	22881.3		12232.1	8909.18	6639.4
MET1		297.798	156.152			2134.46	2196.81	948.852
MET10		833.703	1450.38	7263.74	35100.9	9217.42	3155.14	5275.82
MET12		2270.98	3657.05	6498.47		4362.08	3129.23	2269.12
MET13		2503.95	2440.45	4173.06	51100.7	4041.94	2113.71	2106.39
MET14		1240.11	2039.51	3951.81		6670.85	3732.72	3584.6
MET16		300.835	1379.85	4602.29		1987.19	1308.82	695.682
MET17		8768.38	11949.6	64542.3	105779	49936.7	27148.2	40851.1
MET18		941.447	650.122	2666.23		1834.01	918.745	315.344
MET2				508.428			1350.35	1550.84
MET22		5271.78	5492.54	12070		10354.3	5930.4	5347.07
MET3		1114.83	1440.43	8504.02	41750.1	14082.9	9733.66	4959.07
MET5		1791.19	1889.31	5192.11	54528.7	9975.66	7752.35	8804.54
MET6		106289	155681	183826	258349	123932	134456	204218
MET7		3378.38	2956.96	33128.5		4294.23	4743.84	2891.81
MET8		1001.95	508.486	1575.96		3101.9	1227.64	1330.89
MEU1		1795.74	1118.62		18218.8	7173.91	1411.8	1548.94
MEX67							224.253	241.691
MF(ALPHA)1		2365.62	475.276			3306.66	1996.73	
MF(ALPHA)2			393.172				707.408	
MFB1						1296.14		
MFM1								
MGE1		248.94	2375.3	29880.2	15170.5	1982.99	1498.41	2548.07
MGL2								
MGM1		474.504						662.284
MGM101		2432.51	1633.63	49072.1		3822.17	2543.62	2003.82
MGR1								
MGR2		280.302					277.669	
MHF2		1040.32	2334.69	6627		2394.06	1063.26	640.601
MHP1								
MHR1		3655.62	745.848			1541.54	1667.76	1708
MHT1						994.294	577.437	458.986
MIA40		1279.73	2310.67				1124.73	1664.07
MIC10		3227.66	2014.07	7686.11		2605.42	2284	1241.25
MIC12								
MIC19		308.716	703.62			894.898	486.846	891.409
MIC26		1020.34	478.479			1477.67	1342.46	2003.41
MIC27		829.185						283.571
MIC60		2369.59	2609.81	2264.44		2093.35	2220.15	631.796
MID2		1487.23	666.764			1735.61	1064.89	975.241
MIG1		276.934	759.459			1071.75	1119.51	511.479
MIM1		835.845	442.596					
MIM2		1311.03	620.859	2165.62		3512.43	1241.25	
MIP1								
MIR1		5542.65	6582.66	25333.1	12337.7	8429.5	4288.24	6999.11
MIS1		7203.1	4196.18	16801.8	38160.1	5686.82	4001.87	3762.15
MIT1								
MIX14		1032.9	867.101			1243.67	816.179	1048.9
MIX23		1229.57	1262.02			2007.34	1167.31	1352.07
MKC7		948.477	963.778			860.354	1034.59	353.716
MKK2								
MKT1		2116.75	2504.09	23085.5		3437.81	3985.78	893.821
MLC1		2847.19	8206.8	3518.89		5454.96	4559.6	6786.19
MLC2		499.972	463.877					759.199
MLF3								
MLH1								
MLP1		899.071	416.487	1574.78		752.016	803.766	313.081
MLS1		1140.11	1552.82	2572.82		1125.75	966.699	681.822
MME1								
MMF1		3297.91	10789.3		31479	31821.6	4108.08	10579.4
MMM1								
MMP1								
MMR1		689.845					445.008	
MMS1			763.92			2085.53	903.252	
MMS2		2050.09	2907.9	21666.5		5061.02	3780.84	2145.49
MMT1		454.438	789.366					
MMT2						404.243		
MNE1		500.626				650.112	421.124	
MNL1							501.739	
MNL2			727.295			650.958	368.289	904.571
MNN1		2834.73	1025.64	24184.3		8341.33	2340.78	656.748
MNN10		1205.38	604.642			2590.49	905.883	205.744
MNN11		2477.64	1243.16	7945.69		3187.82	2861.07	1837.53
MNN2		1494.79	1145.46	19770.1		3230.06	1954.53	1272.38
MNN4		424.096				1665.98	479.072	
MNN5		1446.93	1412.23			768.606	932.641	593.397
MNN9		4517.54	2396.15	18617		5119.18	5182.12	3914.24
MNP1		2373.08	6254.86	13084.5		4538.11	4049.86	548.143
MNR2		494.021	418.97					142.474
MNS1		672.694	475.307			1231.81	568.71	
MNT3		1671.3				2426.26		
MOB1		251.535						
MOB2						378.388		
MOD5								
MOG1		1495.52	2957.66	9643.5		1105.27	1182.79	1495.33
MON2		986.123	964.524	1598.87		402.875		887.139
MOT1		4121.15				8264.89	7955.8	825.775
MOT3		611.292	215.039				507.092	196.366
MPA43		248.148				773.251	404.797	
MPC1		2126.84	230.176			2277.38	379.66	441.499
MPC2								
MPC3								
MPD1		165.901	91.0487			932.934	426.037	554.795
MPD2			248.351				1206.4	456.892
MPM1		3360.25	1792.46	2960.99		3347.35	2221.39	713.009
MPO1								
MPP6		1016.56	326.194				833.503	413.335
MPS2								
MPS3		436.547	1031.92					
MPT5		777.739	188.193					
MRC1		160.906					77.9124	
MRD1		3193.24	1298.11	3005.07		2298.63	1085.01	971.707
MRF1								
MRH1		8188.77	4067.2				3859.86	4221.35
MRH4		1020.16	643.284			761.781		
MRI1		2255.64	2226.57			5017.87	2503.12	2832.67
MRM2								
MRN1		1312.9	340.912	13809.2			385.664	392.16
MRP1		905.447	1416.71	7278.89		1552.59	715.737	1263.61
MRP10		975.133	3438.41					
MRP13		1426	593.392		34914	885.09	982.576	1040.84
MRP17		2243.66	2580.99	4234.11	26291.9	4388.86	2981.01	1938.21
MRP2		769.756	1473.45				1284.25	724.318
MRP20		2192	1071.2				812.516	1061.46
MRP21		350.77						
MRP4		1850.53	1974.38	9567.36	15356.1	5593.64	2422.56	1253.05
MRP49		1567.06	5728.29		5796.62	2809.32	1083.84	600.836
MRP51		3267.25	998.545	7622.34		6278.74	2598.54	974.676
MRP7		1214.08	1525.61	10155.9		3596.34	1760.02	793.333
MRP8		1995.16	3579.19	6638.73		3536.27	1669.4	2482.84
MRPL1		1161.32	277.89			1704.51	848.81	812.112
MRPL10		1953.66	607.552				1077.63	786.13
MRPL11		2094.92	647.777			1233.02	1025.21	895.054
MRPL13			919.941	3387.6		1038.02	807.762	1091.94
MRPL15		614.306	3396.97			2743.72	3524.68	1298.09
MRPL16		1200.23	303.056				1095.31	
MRPL17		1801.28	1323.86			1532.92	1297.62	976.913
MRPL19		868.026	664.054			1232.46	608.253	543.437
MRPL20		708.491	421.459				798.482	477.351
MRPL22		3589.3	575.883	12137		6310.44	2121.84	999.61
MRPL23		1334					1129.3	1104.83
MRPL24		2272.64	1153.39	5061.27		1498.87	556.251	1037.74
MRPL25		2093.09	639.37				1658.07	776.031
MRPL27		1418.14	1390.32					685.136
MRPL28		4060.34	525.368			2024.35	1097.66	613.255
MRPL3		1295.02	1168.23	4850.57		3277.36	1318.35	1637.42
MRPL31		752.249	328.107				111.899	364.643
MRPL32		743.305						351.619
MRPL33								874.361
MRPL35		1923.12	1805.03	5990.61		3615.16	2108.35	1773.59
MRPL36		813.943	576.59				865.356	767.506
MRPL37								
MRPL38		451.273	369.416				989.31	438.177
MRPL39		410.033						443.837
MRPL4		1492.28	730.849			1269.92	1941.63	1000.33
MRPL40		443.615	521.539				554.344	876.648
MRPL44		359.053				1317.66	672.716	
MRPL49		1096.35						599.669
MRPL50		1378.05						
MRPL51		614.564	391.788				2445.63	442.167
MRPL6		1035.01	837.587			1136.24	1882.52	527.359
MRPL7		2763.49	1657.2	3523.32	109495	2440.09	2646.18	1215.66
MRPL8		817.66	245.061				583.928	480.834
MRPL9		1659.23	573.802	6051.28		3064.7		400.532
MRPS12								
MRPS16			355.525					1174.82
MRPS17		1716.91	2437.9			1373.6	2080.04	1190.43
MRPS18			422.091					629.503
MRPS28		767.5	642.16	14188		1083.56	457.949	917.995
MRPS35		607.177	495.553			1384.2	629.699	771.373
MRPS5		3240.29				636.84		1417.82
MRPS8		1089.36	822.907				1248.22	792.19
MRPS9		2427.12	2336.19			909.118	2429.31	1985.13
MRS1								
MRS2								
MRS3								
MRS4		431.155					793.244	
MRS6		667.575	280.847				768.155	595.378
MRT4		5774.82	8958.48	3749.48		6712.3	4957.89	4393
MRX1		937.327	1134.27			223.976		
MRX10								
MRX11								
MRX12			3892.99			401.706	263.355	229.702
MRX3		667.635				2517.24	442.541	
MRX4								
MRX5						1306.6		
MRX6		245.581						
MRX7								
MRX8								
MRX9			864.564					
MSB1								
MSC1		817.939	594.674				813.035	482.482
MSC2							224.608	
MSC3		352.127	514.808				618.443	478.782
MSC6		5995.4	4880.6	18212.6		3290.25	2951.47	2525.08
MSC7		2663.26	2184.16	17405.8		4569.51	2315.2	1917.93
MSD1		3450.59	1966.76	5272.16		4832.71	2827.51	1154.51
MSE1		1351.45	1203.39					
MSF1		1115.04	1098.42	4156.55		4381	2064.88	758.243
MSH1		5173.15	5532.93				4398.38	4524.53
MSH2		272.055				363.071	297.231	
MSH6		978.931	667.986			662.564	1121.24	405.803
MSK1		731.986	1238.77				1168.83	564.066
MSM1		546.521	642.102			1022.36		1856.92
MSN2		79.3112					349.3	290.815
MSN5		3200.03	2064.64	6386.25		2920.34	3448.2	908.305
MSO1								
MSP1		866.282				2066.98	1449.11	648.879
MSR1		1361.14				2323.32	747.572	514.076
MSS1		368.508					184.007	277.773
MSS116		6684.74	8689.19	20519.3		10655.8	6615.19	4759.4
MSS18						335.087	400.465	
MSS2							2772.57	
MSS4			998.113				273.83	
MSS51		2500.37	3067.34			7050.16	2579.18	1987.26
MST1							192.024	
MST28								
MSW1		402.489	301.194			1639.56	521.67	544.502
MSY1		1832.93	936.52	1221.02		1668.2	2450.46	372.151
MTC1		1571.61	2203.19	12861.5		4453.39	1929.77	1423.4
MTC2								
MTC3								
MTD1		2401.3	2079.49	4518.02		4101.35	2620.13	2058.67
MTF1		1132.99	2774.43				740.936	797.821
MTF2						1368.81		902.426
MTG1								
MTG2		171.013						
MTM1								
MTO1		1257.16	3386.28			2840.63	1884.61	607.16
MTQ1								
MTR10						184.432	562.466	
MTR2						737.622		
MTR4		1430.38	651.065			2136.14	1183.04	1051.21
MUK1								
MUP1		939.146	738.787			1642.92	1452.73	956.661
MVD1		8963.13	9937.99	47512.5	29659.7	19621.2	6987.21	6984.06
MVP1		2517.98	2136.18	5246	13652.2	4567.87	1985.84	1090.2
MXR1		5803.85	4363.29	60431.8		7515.03	6373.21	7480.89
MXR2		373.133	1153.59	4008.02		1827.06	1682.17	449.524
MYO1		836.504		7649.77			227.056	
MYO2		1573.07	1177.5	3914.48		1827.82	1752.28	1294.36
MYO3		600.819		5034.08			558.642	
MYO4		1953.85	1220			1252.69	1798.21	
MYO5		1551.7	696.191		9722.63	1766.67	1133.35	1109.57
MZM1		2366.06	2500.22			686.021	1395.84	
NAB2		566.829	178.191				1070.97	
NAB3		3088.84	607.304			399.867		978.051
NAB6		2453.15		4749.21			1122.58	191.686
NAF1		842.818				1133.85	469.793	
NAM2		4406.35	2333.33			3564.26	7409.53	675.866
NAM7		965.661	490.122		50497.7	2214.29	581.69	388.592
NAM9		1341.76	1212.55			2194.98	1669.63	1624.04
NAN1		585.247	651.424				504.067	743.657
NAP1		1080.84	844.544			3701.61	3230.78	1532.8
NAR1		520.053				198.776	409.576	
NAS2								65.328
NAS6		2260.05	2114.76			4384.77	2573.08	1865.3
NAT1		2999.87	1236.6	6497.55		1968.34	1822.31	1214.25
NAT2								
NAT5		1107.28	499.502	5171.62		3282.19	926.848	652.715
NBA1		892.876	713.153			496.787		566.23
NBP1								
NBP2		1072.37	311.29					399.144
NCA2		777.146					1724.14	540.73
NCB2			267.748			1108.19	1396.5	576.396
NCE101								
NCE102		585.149	1087.14					1738.52
NCE103		1414.73	1779.43	12812.5		2321.13	1377.86	2274
NCL1		4356.66	3629.58	13147		6440.16	3747.72	2759.7
NCP1		1960.28	3004.23		51230.1	3438.46	2485.6	2297.49
NCR1		490.955	207.798			402.676	132.914	
NCS6							193.062	
NDC1		1917.68		1124.07		2537.79	1267.71	505.286
NDE1		5004.37	5786.5	19896.4	8966.47	9710.29	7328.06	2895.67
NDI1		3125.95	2695.57	6876.01		5118.52	3296.85	2748.65
NEO1		611.448	425.125	1875.92				340.876
NET1		3043.63	5592.16				3322.23	2441.36
NEW1		1994.21	1213.42	5240.8		1994.1	1185.96	732.189
NFS1		2867.3	1955.75	6780.16		5696.45	4688.64	2271.58
NFU1		4152.49	1729.61			4829.57	1786.21	1078.3
NGL1		223.235				523.78		
NGL2		3266.07	1659	8411.48		2740.25	3065.17	590.199
NHA1								
NHP10		1293.28	1101.76				1179.08	554.276
NHP2		13262.2	4449.49		7229.7		3593.36	5347.93
NHP6A		2987.58	1932.05	5627.31		1975.84	1977.87	2212.29
NHP6B		1906.54	1638.31	3334.06		1327.88	2720.94	2461.46
NIC96			603.755			1206.66	789.911	855.185
NIF3		2848.03	1701.41		1888.26	1271.06	1992.87	1468.15
NIP1		996.809	943.638	3986.43		2843.72	2063.2	2548.2
NIP7		1164.03	746.808			2338.81	1313.39	1269.84
NIS1		163.415						74.2847
NIT2								
NIT3		7235.9	4627.75	27154.9	21118.4	8264.2	5221.44	3497.09
NMA1						827.907		
NMA111		11955.7	9575.91	24804.4		15425.9	8797.38	6091.42
NMD3		4832.27	4167.56	20578.8	11937.1	5444.14	4035.89	2886.99
NMD5		608.762	813.383			997.828	594.961	895.147
NMT1		2352.75	2544.29	10945.1		4389.54	1940.23	2331.48
NNF2								241.57
NNR1		167.242				786.918	146.41	858.159
NNR2							1199.43	335.942
NNT1		1721.09	1166.64			2196.08	1081.86	998.399
NOC2		3698.33	982.835	2008.97		2673.17	1415.58	608.125
NOC3		1619.26	1122.17	3228.94		1742.31	1412.59	727.872
NOC4		261.579	423.322			211.546	287.703	321.3
NOG1		3223.62	2290.09	16937.3		2022.32	2891.48	1703.01
NOG2		1758.29	822.905	6250.93	11538.2	1412.15	1497.09	813.798
NOP1		6496.44	3485.28	7142.08	23816.2	5035.66	4274.82	3528.02
NOP10		3756.96	2206.75				4543.59	1577.16
NOP12				1682.06		295.844		496.656
NOP13		1701	1090.13	1840.15		1432.04	2389.57	748.777
NOP14		544.844	364.023			605.551	530.622	280.778
NOP15		1441.07	1640.05				782.114	2549.76
NOP16		826.333	346.613				716.726	272.476
NOP19		251.375						
NOP2		2262.03	2159.85	4847.63		2695.97	1720.29	1990.86
NOP4								159.626
NOP53		452.977					282.872	42.8624
NOP56		6604.01	6716.34	28269.8		7564.82	6272.45	6621.72
NOP58		3084.62	4128.94	15882.9		11739.4	3803.89	2912.32
NOP6		2872.96	1119.43			4698.92	2128.94	951.884
NOP7		5251.57	2112.44		12263.8	5388.73	3792.06	1621.71
NOP8		675.55					267.454	144.409
NOP9						302.262	232.915	
NOT3								
NPA3		957.854	994.464			971.901	651.276	1448.59
NPL3		3756.1	3705.03	14407.9		2110.91	3981.03	3479.07
NPL4		1221.18	1430.91	4692.94			363.703	657.051
NPL6		429.168	354.627			536.653	621.474	583.182
NPP1								
NPR1			268.196					1117.54
NPR2								
NPT1		4148.41	4055.33	16781.8	107198	5529.72	3109.3	5802.83
NPY1		673.264	1752.52			4439.5	503.543	736.017
NQM1							1005.98	177.269
NRD1		989.359	852.097			1004.96	966.357	746.032
NRK1		171.571					176.512	346.822
NRP1		395.98		2104.43				369.712
NSA1		4316.34	2532.73			3467.51	4193.43	1212.7
NSA2		1136.51	933.75	7203.41		982.802	1170.63	1033.85
NSE1								
NSG1		2157.21	488.266			339.857	222.69	223.386
NSG2		585.027	245.952				1081.67	345.255
NSI1								
NSP1		1723.16	1085.09	7888.95		24212	1095.08	1516.51
NSR1		1240.29	1276.27				1848.1	1768.51
NST1		226.802						
