""	"Prot"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"PBI2"	"PBI2"	-0.440840193927355	11.5160298150806	-0.864538830001105	0.424435712256973	0.896830820246278	-6.48358134169599
"SEC12"	"SEC12"	0.241062451013151	8.0353961432235	0.923957205497811	0.395361113338595	0.885054177260116	-6.48398622191166
"UTP15"	"UTP15"	-0.332990038579963	7.24675783723715	-0.937449200294446	0.388981033146994	0.880792056825099	-6.48457067029924
"PBN1"	"PBN1"	-2.10764932365988	9.59966795518785	-0.959090246763836	0.378918047194367	0.87312841301559	-6.48465853742069
"CLA4"	"CLA4"	1.37041324157317	8.95049226768548	0.956498936105713	0.380111942314917	0.874429526694839	-6.48714850134093
"YLR345W"	"YLR345W"	-0.172165475499238	7.78675297694252	-0.907966331924072	0.403028975636926	0.887036875244795	-6.4874556426773
"YPD1"	"YPD1"	1.16082145368791	9.93285118039668	0.955659510277099	0.380499335075857	0.874429526694839	-6.4879540796167
"TRZ1"	"TRZ1"	0.443989500963154	10.6787566845728	0.891154115147922	0.411215087375702	0.892280292717642	-6.48991996320604
"KOG1"	"KOG1"	-0.190331201421006	8.13484949444782	-0.90284264734086	0.405510250724402	0.889423000041102	-6.49031589931487
"RPC40"	"RPC40"	-0.231259319174607	11.8409864546915	-0.925522967756468	0.394616498269907	0.885054177260116	-6.49091618811926
"YPQ1"	"YPQ1"	1.49195520604527	9.9855550792458	0.951983583259976	0.382199478751155	0.874429526694839	-6.49147590625695
"MRPS9"	"MRPS9"	1.79535540654263	10.2863712138604	0.951769027167863	0.382298899352091	0.874429526694839	-6.49168117170212
"LCB4"	"LCB4"	0.184080949114863	8.59059184855385	0.836415271978102	0.438753943250569	0.896830820246278	-6.49250099478705
"VPS28"	"VPS28"	-0.327913653497256	8.0933324879117	-0.950392072978061	0.382937440433444	0.875026790333325	-6.49299772252267
"SDH5"	"SDH5"	-1.52095742313887	9.25240847429994	-0.949083342160693	0.383545131061475	0.875026790333325	-6.49424779221961
"IKI3"	"IKI3"	-0.592981733133345	11.9665959908394	-0.947512228609462	0.384275668888774	0.875026790333325	-6.49574687171232
"UTP9"	"UTP9"	-1.15009062504982	9.31938661128362	-0.947347887365715	0.384352148331285	0.875026790333325	-6.49590357633418
"CMC1"	"CMC1"	2.54388208778281	11.8022873424552	0.946657398676616	0.384673613141703	0.875026790333325	-6.49656176862087
"GDI1"	"GDI1"	0.199328509763696	12.6577589504486	0.908097977815606	0.402965378849671	0.887036875244795	-6.4974249182582
"ADK1"	"ADK1"	0.459675120560112	14.3406981686039	0.938608384896389	0.388436695199287	0.880792056825099	-6.4978527162126
"ARC18"	"ARC18"	-0.242485571455461	12.8022971165168	-0.912916974666406	0.400642751103404	0.887036875244795	-6.49819076253723
"RML2"	"RML2"	-0.161728561169084	7.86771772218403	-0.853464687845185	0.430031024893935	0.896830820246278	-6.50066181746896
"ALG13"	"ALG13"	0.679410645501659	7.13371736936045	0.918912010070023	0.397767918092817	0.887036875244795	-6.50119597448521
"FOL3"	"FOL3"	0.419107320509895	11.2173523450534	0.902324517840753	0.40576182786424	0.889423000041102	-6.50241120562858
"OST3"	"OST3"	0.815316121381059	9.10830856188374	0.927673088843299	0.393595782678763	0.885054177260116	-6.50393516246581
"YNL115C"	"YNL115C"	0.812588352787524	8.949885285303	0.925133603950564	0.394801561340665	0.885054177260116	-6.50397737145789
"LEU1"	"LEU1"	-0.180577821834457	12.5316052682625	-0.857919973127885	0.427773275384155	0.896830820246278	-6.50466736118798
"DYS1"	"DYS1"	-0.250630831745876	13.4529300377144	-0.894915477562649	0.409372539487577	0.892001217620298	-6.50582013519
"LEM3"	"LEM3"	0.334922934262689	11.1570343217542	0.8911729178211	0.411205860762615	0.892280292717642	-6.50669381750372
"ASP1"	"ASP1"	-1.11452834006789	10.4709586879479	-0.933337591958746	0.390916657341634	0.88276088803329	-6.50744306214798
"NOG1"	"NOG1"	0.263638357221806	11.3043820484259	0.835189402576319	0.439386200258413	0.896830820246278	-6.50859471470438
"KES1"	"KES1"	0.30764640577463	12.2266914073521	0.858254912683897	0.427603905440803	0.896830820246278	-6.50988998523935
"DYN2"	"DYN2"	0.288395056064486	8.38078793557168	0.93094464001824	0.392046685708255	0.884422323020838	-6.51144704431511
