wt35_1.1st	wt35_2.1st	wt35_3.1st	wt35_1.3st	wt35_2.3st	wt35_3.3st	wt35_4.3st	Mut218_1.3st	Mut218_2.3st	Mut218_3.3st
YAR003W	8.39283571076196	8.28385425052945	8.38950210177163	8.28788398518382	8.3076137145856	8.28567156485115	8.24806855947591	8.32417184028321	8.24108007898193	8.28341936053248
YAR007C	8.45371390013328	8.37620308913221	8.47366296337914	8.35537431758614	8.43832317318838	8.40393011251896	8.59662666667795	8.68650928986891	8.53077496418352	8.60749798158442
YAR008W	6.7408971280544	6.64172978066012	6.86484603824498	6.81072489919384	6.84952519365342	6.79779191874805	7.00749833272813	7.08555535062636	6.90009960290459	7.01411079119183
YAR014C	8.95544120345789	8.96639827409471	9.0213465724603	8.83103797648258	8.77877519814054	8.85408761023447	8.77411998410961	8.78153297569799	8.76668140848414	8.78825258787018
YAR015W	10.5300954207022	10.5606396376702	10.5449377234649	10.5967917655778	10.6633985219491	10.5113313165036	10.6482759872537	10.1673857712274	10.1323068237128	10.1112318049927
YAR018C	8.59232655557931	8.6101845514701	8.78542815463159	8.71871776280735	8.67312567281547	8.6882819846431	8.71573487910318	8.68257710782541	8.71369615492587	8.68622093420767
YAR019C	7.62845390397689	7.48775985774162	7.49406407549547	7.61155146324011	7.38911929718106	7.51119918735968	7.37829564424035	7.64945179523194	7.63284101481547	7.83235575465429
YAR019W-A	1.75491426735764	1.66445488054332	1.5624459270547	1.84994966793831	1.76395175854441	1.4581601161293	1.55235870149435	1.73895291760842	1.92813862459983	1.58420347264568
YAR020C	5.56050407840386	5.45371364401093	5.52268035609109	5.60278965213739	5.1853725417842	5.18835109737633	5.13635316886315	4.84231479275774	4.77792092143192	4.91195752760672
YAR023C	6.4353304843052	6.34224006683615	6.22280729441107	6.27796336723303	6.14514912902517	6.15878465751056	5.92047584095766	6.01195421453996	6.08074596448954	6.11771992085312
YAR027W	8.27904888941691	8.19497996663601	8.02508358615892	8.36854490667665	8.35607589883878	8.30842472769605	8.25906715338114	8.27374373175697	8.35216245918273	8.35315562539421
YAR028W	5.72442193736957	5.85176936097798	5.76784038555322	5.87143986445756	5.82043602168797	5.85588883247152	5.70827093319145	5.97483399365813	5.62507863331437	5.80311954426778
YAR029W	5.17405095882118	5.26470288028762	5.1680454858999	5.33308585506386	5.09582321633443	5.02030992138262	4.92997977046288	5.01619039040064	4.98262945355744	4.75572416905504
YAR030C	5.1910887363252	5.39622432653621	5.2678657733879	5.21874370375523	5.23143240485221	5.20801006074402	5.18366757691744	4.92344077544074	4.71366863058746	4.95924270010246
YAR031W	4.75318866150939	4.77401582691918	4.47318649966808	4.59815192616771	4.58105728189563	4.42605749247215	4.74203480872734	4.378428657581	4.5018139386639	4.27854562809425
YAR033W	6.13399105731197	6.03396354035256	5.8946229671808	6.03983939906626	6.05784472478195	6.01744312773687	6.00157940125094	5.8448873221304	5.84696186017968	5.82494304247597
YAR035W	8.86136762271623	8.81430661072678	8.63412907396807	8.92964495902914	8.72834804833974	8.71481874492386	8.25905583519011	9.00718181722971	8.86198216759721	8.92725730359119
YAR035C-A	5.51216651690519	5.41063297583928	5.42946167475832	5.32567542317016	4.98847821546858	5.36760594873942	5.348792929607	4.76694205469904	4.95476870749027	4.6331217130204
YAR042W	10.0206287764266	10.0697618933304	10.0208262601893	10.025827162577	10.0336670723176	9.99139635456658	9.95404404316016	10.0203861682916	10.1010266538413	10.0343338596242
YAR047C	0	0	0	0	0	0	0	0	0	0
YAR050W	3.89210521667699	3.98937621783515	4.0855379971293	4.06692199349451	3.94318748254056	3.95888038130698	4.08569261079738	3.68986082473572	4.04451341570469	3.96137853202997
YAR053W	-2.16337061934745	-2.18076638837484	-2.15990405548067	-2.16942655128758	-2.16147303862118	-2.07862968668017	-2.16266290567723	-2.16663963173148	-2.16647200488497	-2.17164559881919
YAR060C	0	0	0	0	0	0	0	0	0	0
YAR064W	1.66365873414557	1.76479809998519	1.60728441502716	1.57046571754032	1.87275063109191	1.83175361222785	1.8014205590713	1.90772302945674	1.71730096883243	1.62768518707653
YAR066W	3.0600316384047	3.1434273709335	3.08720913902385	3.01185870069643	3.1653030096616	2.78001376341075	3.06560521145182	2.98891824850268	3.20544102408953	2.9057442934661
YAR068W	4.70511406540688	4.73243061278633	4.72267481985867	4.77245937173764	5.10105712265611	4.73831327901785	4.52554659869658	4.58028698429521	4.58207737641531	4.61128178496276
YAR069C	-0.311022877662638	-0.340801649147746	-0.306098166262397	-0.320391628177204	-0.308289013610749	-0.406877963626343	-0.309992352347337	-0.315955530578702	-0.315695577322625	-0.410527426685177
YAR070C	-0.154753251767742	-0.187245130982581	-0.149354899042103	-0.0800769319267651	-0.151757360488278	-0.16453120330099	-0.2407862345079	-0.0746420027306367	-0.246313953384161	-0.254439396711705
YAR071W	6.4527694747627	6.22837542549738	6.18657629659489	6.37031407808771	6.21348926948648	6.20511423630705	5.93824545002126	6.1720188933926	6.19999135942595	6.26918028685939
