"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DAP2","DAP2",-0.296170433189124,8.08494680800742,-0.763529323962811,0.477525224451606,0.908626739576918,-6.62081157633094
"OXP1","OXP1",0.528324148072679,7.68016810157831,0.808797228923938,0.453163147608168,0.900167530290843,-6.62082506944763
"ARP9","ARP9",-0.340534532591084,11.137668696959,-0.808452387661025,0.453345241704446,0.900167530290843,-6.6211172425608
"CDC39","CDC39",-0.87252544244929,10.0732097410234,-0.788807109743612,0.463807582776742,0.907950930005056,-6.62209933807026
"HTS1","HTS1",0.168746908364222,14.422178894071,0.738793984186147,0.491225681086889,0.911748539754776,-6.62410638089447
"VIP1","VIP1",-1.16652474132695,9.2482422120407,-0.800963224598475,0.457313154424401,0.905548152409129,-6.62743855471559
"HSP60","HSP60",-0.207532955188788,14.5106390498792,-0.799879559811297,0.457889398943457,0.905548152409129,-6.62834942074888
"PRE5","PRE5",0.503031615342948,12.3713285511689,0.799184923459438,0.458259054190735,0.905548152409129,-6.6289327834987
"EMC1","EMC1",1.35808036796108,10.6172749860047,0.79910021283042,0.458304148394491,0.905548152409129,-6.62900389716691
"SWS2","SWS2",0.441247693342292,11.0600342802602,0.75301131935499,0.483317547225962,0.908626739576918,-6.63283148585137
"RTS3","RTS3",0.509283980730293,7.6358879064845,0.782146424612486,0.467394301828337,0.907950930005056,-6.63443660788273
"MDH3","MDH3",-0.205953400197091,11.9302693132557,-0.766467375397603,0.475916077171797,0.908626739576918,-6.63511354842138
"SYG1","SYG1",-0.55419719053182,7.8829076358579,-0.789300739823617,0.463542562514799,0.907950930005056,-6.63719043530615
"YML096W","YML096W",0.849352197934114,9.06549914375694,0.772186357848815,0.472794940387404,0.908626739576918,-6.6384188956541
"ATP3","ATP3",-0.201457921013626,12.2673455565303,-0.646976099225359,0.544443781691387,0.922386776874571,-6.63855014205258
"PTC4","PTC4",0.173813588194325,8.57877897054356,0.729742994341183,0.496307030993957,0.913204937028882,-6.63880451422462
"UBR1","UBR1",0.910873480308428,9.15275571661653,0.782885062508692,0.466995567512127,0.907950930005056,-6.63975067369781
"MIC19","MIC19",-0.457920872068776,7.77170882102208,-0.786093064075038,0.465266660859393,0.907950930005056,-6.63985284394196
"YPT32","YPT32",0.304720489495736,10.9010210505741,0.737276855747598,0.492074876408249,0.912174621640367,-6.63996304108403
"SRP1","SRP1",-0.187057161978442,11.5649643874134,-0.750560950076098,0.484674086126979,0.908626739576918,-6.64072694005043
"RRP6","RRP6",1.096392815722,8.82007121693274,0.784766119823189,0.46598123677187,0.907950930005056,-6.64095171745699
"SSQ1","SSQ1",0.250532149627285,7.83828016719642,0.756550762978677,0.481362829103615,0.908626739576918,-6.6409873370956
"PPM2","PPM2",-0.351721037713349,6.79318836951485,-0.764235435943544,0.477138139305264,0.908626739576918,-6.64212362270974
"SIF2","SIF2",-0.637118575351834,7.07939345013383,-0.782560060056116,0.467170981327506,0.907950930005056,-6.64277535490687
"RPL28","RPL28",0.658859419036868,14.8518943018428,0.781455569753463,0.467767463885987,0.907950930005056,-6.64368685312938
"RPN1","RPN1",0.225897704041507,13.7154053084844,0.7682059487621,0.47496569747828,0.908626739576918,-6.64405739300165
"HEM13","HEM13",0.135235462983296,11.5557795076089,0.67054058948473,0.530435239504513,0.922386776874571,-6.64436427558428
"ERV41","ERV41",1.1235182384327,8.59127946848496,0.766843963715479,0.475710102613168,0.908626739576918,-6.64465237483718
"ASC1","ASC1",-0.210831633444341,15.3721172166829,-0.73886416255311,0.491186424339336,0.911748539754776,-6.64563133392447
"TSR1","TSR1",1.04634268695402,9.46749295201774,0.778245092031934,0.469504405406003,0.907950930005056,-6.64633055196968
"UBA1","UBA1",0.123300364581392,13.8261403670775,0.618743698973824,0.561539192725833,0.923198206700951,-6.64669106717783
"TPO3","TPO3",1.15524948780895,8.84550655630322,0.777441318272353,0.469939990719883,0.907950930005056,-6.64699107456102
"DUS1","DUS1",-1.75134051373777,9.62348885001522,-0.777221400380997,0.470059220384281,0.907950930005056,-6.64717170347681
"SPE3","SPE3",-0.377868961546464,11.8979246040157,-0.777070076520946,0.47014127405256,0.907950930005056,-6.64729596929796
"CUE1","CUE1",1.08079525277071,9.02740542207226,0.7768403535155,0.470265858452022,0.907950930005056,-6.64748457904608
"PXP2","PXP2",-0.273432450391931,8.1642591702521,-0.7765490908475,0.470423851415663,0.907950930005056,-6.64772365103776
"CNB1","CNB1",-0.284286923282959,8.72888870367631,-0.73443006077777,0.493671101035671,0.912251175976668,-6.64786830823693
"CPR7","CPR7",-0.256638984915253,8.19462903261919,-0.774781309981073,0.47138358703116,0.908305448714345,-6.64917313747977
"AIP1","AIP1",-0.339064302082226,11.6792112096144,-0.774011564219615,0.471801924024474,0.908305448714345,-6.64980346649278
"RAM1","RAM1",0.23384941731157,7.47217057784681,0.757785040883579,0.48068249590465,0.908626739576918,-6.65010357531693
"TDH2","TDH2",-0.209362219863577,14.5757334973564,-0.773518221791972,0.472070182886562,0.908305448714345,-6.65020719213568
"CSF1","CSF1",0.564167912820266,11.5190331507294,0.734640115899649,0.493553198002113,0.912251175976668,-6.65041667695464
